CallLTP,ITM Prob.,CallIV,CallDelta,StrikePrice,PutDelta,PutIV,ITM Prob.,PutLTP
""
1002.7,99.3,14.43,98.18,18800,-3.27,16.41,0.6,7.25
400.65,99.1,0,0,18850,-3.69,16.05,0.8,8.15
950,98.7,23.71,87.62,18900,-4.13,15.64,1.2,9.05
1029.5,98.2,36.94,76.41,18950,-4.79,15.37,1.7,10.55
847.35,97.6,21.44,87.12,19000,-5.38,14.96,2.3,11.75
938.65,96.8,35.32,74.64,19050,-6.13,14.6,3.1,13.35
755.85,95.8,20.61,84.82,19100,-6.77,14.07,4.1,14.45
662.35,94.6,12.94,93.38,19150,-8.13,13.96,5.3,17.8
652,93.1,18.13,84.08,19200,-8.97,13.38,6.8,19.2
601.3,91.2,17.04,83.44,19250,-10.08,12.88,8.7,21.25
558.9,89.1,16.86,81.39,19300,-11.48,12.43,10.8,24
519.7,86.6,16.91,78.85,19350,-13.73,12.3,13.3,29.55
469,83.7,15.72,77.78,19400,-16.11,12.05,16.2,35.3
430,80.4,15.6,75.01,19450,-18.59,11.68,19.5,41
389.8,76.9,15.26,72.3,19500,-21.82,11.49,23,49.5
344.2,72.9,14.36,69.98,19550,-25.47,11.3,27,59.6
303.7,68.7,13.81,66.88,19600,-29.46,11.06,31.2,70.9
273.7,64.2,13.97,62.79,19650,-34.1,10.96,35.7,85.95
240.15,59.6,13.69,58.89,19700,-38.89,10.69,40.4,101
207.95,54.8,13.38,54.77,19750,-44.08,10.33,45.1,117.35
176.65,49.9,12.98,50.39,19800,-49.72,10.1,50,138
150.65,45,12.8,45.84,19850,-55.45,10.13,54.9,165.1
128.65,40.3,12.75,41.33,19900,-61.66,9.63,59.6,188
104.55,35.7,12.37,36.54,19950,-67.48,9.51,64.2,219.1
88,31.3,12.39,32.25,20000,-73.7,9.1,68.6,249.8
72.2,27.1,12.3,28.03,20050,-80.57,8.38,72.8,281.2
57.95,23.3,12.15,23.95,20100,-86.03,8.02,76.6,319.95
46.95,19.8,12.13,20.39,20150,-90.09,7.86,80.1,363.1
38.6,16.6,12.21,17.37,20200,0,0,83.3,396.85
31.95,13.8,12.35,14.8,20250,0,0,86.1,441.95
25,11.4,12.29,12.17,20300,0,0,88.5,487.9
20.65,9.2,12.45,10.28,20350,0,0,90.7,533.4
16.6,7.4,12.53,8.52,20400,0,0,92.5,579.95
14.4,5.9,12.85,7.4,20450,0,0,94,600
11.9,4.6,13.02,6.23,20500,0,0,95.3,673.8
9.75,3.6,13.17,5.2,20550,0,0,96.3,685.2
7.8,2.7,13.25,4.26,20600,0,0,97.2,769.55
6.8,2.1,13.56,3.71,20650,0,0,97.8,765
5.55,1.5,13.7,3.08,20700,0,0,98.4,835
5.45,1.1,14.26,2.92,20750,0,0,98.8,900.6
